"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Tibet Autonomous Region","Lhoka",0,0,0,0,0,"2020-02-03"
"China","Tibet Autonomous Region","Nagqu Prefecture",0,0,0,0,0,"2020-02-03"
"China","Tibet Autonomous Region","Ngari Prefecture",0,0,0,0,0,"2020-02-03"
"China","Tibet Autonomous Region","Nyingchi",0,0,0,0,0,"2020-02-03"
"China","Tibet Autonomous Region","Qamdo",0,0,0,0,0,"2020-02-03"
"China","Tibet Autonomous Region","Xigazê",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Aksu Prefecture",1,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Altay Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Bayingolin Mongolia Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Bortala Mongol Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Changji Hui Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Hami",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Hotan Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Ili Kazak Autonomous Prefecture",12,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Karamay",1,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Kashi Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Kizilsu Kirgiz Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Shihezi",1,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Tarbaĝatay Prefecture",4,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Turpan",1,0,0,0,0,"2020-02-03"
"China","Xinjiang Uygur Autonomous Region","Ürümqi",20,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Baoshan",8,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Chuxiong Yi Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Dali Bai Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Dehong Dai and Jingpo Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Dêqên Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Honghe Hani and Yi Autonomous Prefecture",5,0,0,0,1,"2020-02-03"
"China","Yunnan Province","Kunming",34,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Lijiang",7,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Lincang",1,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Nujiang Lisu Autonomous Prefecture",0,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Pu'er",4,0,0,0,0,"2020-02-03"
"China","Yunnan Province","Qujing",8,0,0,0,1,"2020-02-03"
