"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"248","New Hampshire","NH",2020-03-19 19:28:58,2020-03-15,32,11855,170,0,12
"249","New Jersey","NJ",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"250","New Jersey","NJ",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"251","New Jersey","NJ",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"252","New Jersey","NJ",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"253","New Jersey","NJ",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"254","New Jersey","NJ",2020-03-19 19:28:58,2020-03-01,4,353,19,0,10
"255","New Jersey","NJ",2020-03-19 19:28:58,2020-03-08,65,2825,56,0,11
"256","New Jersey","NJ",2020-03-19 19:28:58,2020-03-15,673,11855,170,0,12
"257","New Mexico","NM",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"258","New Mexico","NM",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"259","New Mexico","NM",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"260","New Mexico","NM",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"261","New Mexico","NM",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"262","New Mexico","NM",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"263","New Mexico","NM",2020-03-19 19:28:58,2020-03-08,13,2825,56,0,11
"264","New Mexico","NM",2020-03-19 19:28:58,2020-03-15,22,11855,170,0,12
"265","New York","NY",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"266","New York","NY",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"267","New York","NY",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"268","New York","NY",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"269","New York","NY",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"270","New York","NY",2020-03-19 19:28:58,2020-03-01,78,353,19,0,10
"271","New York","NY",2020-03-19 19:28:58,2020-03-08,266,2825,56,0,11
"272","New York","NY",2020-03-19 19:28:58,2020-03-15,2469,11855,170,0,12
"273","New York City","NY",2020-03-19 20:10:57,2020-01-19,0,NA,NA,NA,4
"274","New York City","NY",2020-03-19 20:10:57,2020-01-26,0,NA,NA,NA,5
"275","New York City","NY",2020-03-19 20:10:57,2020-02-02,0,NA,NA,NA,6
"276","New York City","NY",2020-03-19 20:10:57,2020-02-09,0,NA,NA,NA,7
"277","New York City","NY",2020-03-19 20:10:57,2020-02-16,0,NA,NA,NA,8
"278","New York City","NY",2020-03-19 20:10:57,2020-02-23,0,NA,NA,NA,9
"279","New York City","NY",2020-03-19 20:10:57,2020-03-01,11,NA,NA,NA,10
"280","New York City","NY",2020-03-19 20:10:57,2020-03-08,258,NA,NA,NA,11
"281","New York City","NY",2020-03-19 20:10:57,2020-03-15,1070,NA,NA,NA,12
"282","North Carolina","NC",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"283","North Carolina","NC",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"284","North Carolina","NC",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"285","North Carolina","NC",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"286","North Carolina","NC",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"287","North Carolina","NC",2020-03-19 19:28:58,2020-03-01,2,353,19,0,10
"288","North Carolina","NC",2020-03-19 19:28:58,2020-03-08,21,2825,56,0,11
"289","North Carolina","NC",2020-03-19 19:28:58,2020-03-15,74,11855,170,0,12
"290","North Dakota","ND",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"291","North Dakota","ND",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"292","North Dakota","ND",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"293","North Dakota","ND",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"294","North Dakota","ND",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"295","North Dakota","ND",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"296","North Dakota","ND",2020-03-19 19:28:58,2020-03-08,1,2825,56,0,11
"297","North Dakota","ND",2020-03-19 19:28:58,2020-03-15,14,11855,170,0,12
"298","Ohio","OH",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"299","Ohio","OH",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"300","Ohio","OH",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"301","Ohio","OH",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"302","Ohio","OH",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"303","Ohio","OH",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"304","Ohio","OH",2020-03-19 19:28:58,2020-03-08,26,2825,56,0,11
"305","Ohio","OH",2020-03-19 19:28:58,2020-03-15,93,11855,170,0,12
"306","Oklahoma","OK",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"307","Oklahoma","OK",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"308","Oklahoma","OK",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"309","Oklahoma","OK",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"310","Oklahoma","OK",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"311","Oklahoma","OK",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"312","Oklahoma","OK",2020-03-19 19:28:58,2020-03-08,3,2825,56,0,11
"313","Oklahoma","OK",2020-03-19 19:28:58,2020-03-15,42,11855,170,0,12
"314","Oregon","OR",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"315","Oregon","OR",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"316","Oregon","OR",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"317","Oregon","OR",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"318","Oregon","OR",2020-03-19 19:28:58,2020-02-23,1,24,1,0,9
"319","Oregon","OR",2020-03-19 19:28:58,2020-03-01,6,353,19,0,10
"320","Oregon","OR",2020-03-19 19:28:58,2020-03-08,29,2825,56,0,11
"321","Oregon","OR",2020-03-19 19:28:58,2020-03-15,52,11855,170,0,12
"322","Pennsylvania","PA",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"323","Pennsylvania","PA",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"324","Pennsylvania","PA",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"325","Pennsylvania","PA",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"326","Pennsylvania","PA",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"327","Pennsylvania","PA",2020-03-19 19:28:58,2020-03-01,4,353,19,0,10
"328","Pennsylvania","PA",2020-03-19 19:28:58,2020-03-08,43,2825,56,0,11
"329","Pennsylvania","PA",2020-03-19 19:28:58,2020-03-15,138,11855,170,0,12
"330","Puerto Rico","PR",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"331","Puerto Rico","PR",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"332","Puerto Rico","PR",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"333","Puerto Rico","PR",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"334","Puerto Rico","PR",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"335","Puerto Rico","PR",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"336","Puerto Rico","PR",2020-03-19 19:28:58,2020-03-08,4,2825,56,0,11
"337","Puerto Rico","PR",2020-03-19 19:28:58,2020-03-15,1,11855,170,0,12
"338","Rhode Island","RI",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"339","Rhode Island","RI",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"340","Rhode Island","RI",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"341","Rhode Island","RI",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"342","Rhode Island","RI",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"343","Rhode Island","RI",2020-03-19 19:28:58,2020-03-01,3,353,19,0,10
"344","Rhode Island","RI",2020-03-19 19:28:58,2020-03-08,17,2825,56,0,11
"345","Rhode Island","RI",2020-03-19 19:28:58,2020-03-15,13,11855,170,0,12
"346","South Carolina","SC",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"347","South Carolina","SC",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"348","South Carolina","SC",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"349","South Carolina","SC",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"350","South Carolina","SC",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"351","South Carolina","SC",2020-03-19 19:28:58,2020-03-01,2,353,19,0,10
"352","South Carolina","SC",2020-03-19 19:28:58,2020-03-08,17,2825,56,0,11
"353","South Carolina","SC",2020-03-19 19:28:58,2020-03-15,62,11855,170,0,12
"354","South Dakota","SD",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"355","South Dakota","SD",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"356","South Dakota","SD",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"357","South Dakota","SD",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
