"","Date","Country","Fatalities"
"798","2020-01-25","Greece",0
"799","2020-01-25","India",0
"800","2020-01-25","Ireland",0
"801","2020-01-25","Poland",0
"802","2020-01-25","Indonesia",0
"803","2020-01-25","Albania",0
"804","2020-01-25","Bulgaria",0
"805","2020-01-25","Panama",0
"806","2020-01-25","Morocco",0
"807","2020-01-25","Guyana",0
"808","2020-01-25","Ecuador",0
"809","2020-01-25","Denmark",0
"810","2020-01-25","Slovenia",0
"811","2020-01-25","Luxembourg",0
"812","2020-01-25","Hungary",0
"813","2020-01-25","Azerbaijan",0
"814","2020-01-25","Ukraine",0
"815","2020-01-25","Sudan",0
"816","2020-01-25","Guatemala",0
"817","2020-01-26","China",80
"818","2020-01-26","Philippines",0
